Frase1,Frase2,Pergunta,AlternativaA,AlternativaB,AlternativaC,AlternativaD,Item,Group
A meia foi rasgada.,"Pelo jogador, no jogo.","Quando voc&ecirc leu ""MEIA"" e pensou primeiro em:",Vestu&aacuterio,Adv&eacuterbio,Ambos,Nenhum,T1,1
A janela foi quebrada.,"Pelo menino, na briga.","Quando voc&ecirc leu ""JANELA"" e pensou primeiro em:",Casa,Guias,Ambos,Nenhum,T2,1
